TenantId,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,LocalIP,LocalIPType,LocalPort,MachineGroup,Protocol,RemoteIP,RemoteIPType,RemotePort,RemoteUrl,ReportId,TimeGenerated [UTC],Timestamp [UTC],InitiatingProcessParentCreationTime [UTC],InitiatingProcessCreationTime [UTC],InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,SourceSystem,Type
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionSuccess,,,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,nt authority,system,,S-1-5-18,,WindowsAzureGuestAgent.exe,windowsazureguestagent.exe,c:\windowsazure\guestagent_2.7.41491.1149_2025-04-02_214626\windowsazureguestagent.exe,2144,System,96682f3a9439fc4a0d4e742be27fea8c,services.exe,664,bb536cc71355c7177688e87b299adb84f4fe667c,23c9c7e95fc7294cf2ca6b67dd7191277f5d484bb260de75a7a6496bc991eaf5,TokenElevationTypeDefault,46976,Microsoft Corporation,,2.7.41491.1149,WindowsAzureGuestAgent.exe,WindowsAzureGuestAgent.exe,WindowsAzureGuestAgent,10.0.1.28,Private,49804,,Tcp,REDACTED IP,LinkLocal,80,,590,"4/4/2025, 9:18:07.541 PM","4/4/2025, 9:18:07.541 PM","4/4/2025, 9:14:29.535 PM","4/4/2025, 9:14:35.525 PM",0,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAcknowledged,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":18,""Packet Size"":86}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,25404,,TcpV4,REDACTED IP,,23456,,585,"4/4/2025, 9:18:01.349 PM","4/4/2025, 9:18:01.349 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAttempt,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":2,""Packet Size"":60}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,42419,,TcpV4,REDACTED IP,,53484,,584,"4/4/2025, 9:18:01.349 PM","4/4/2025, 9:18:01.349 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAttempt,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":2,""Packet Size"":60}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,46239,,TcpV4,REDACTED IP,,51011,,596,"4/4/2025, 9:18:10.986 PM","4/4/2025, 9:18:10.986 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAttempt,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":2,""Packet Size"":60}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,7558,,TcpV4,REDACTED IP,,41336,,627,"4/4/2025, 9:18:21.048 PM","4/4/2025, 9:18:21.048 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAttempt,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":2,""Packet Size"":60}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,4434,,TcpV4,REDACTED IP,,41423,,652,"4/4/2025, 9:18:33.103 PM","4/4/2025, 9:18:33.103 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionSuccess,,,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,nt authority,system,,S-1-5-18,,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/f3c9e1a4-07cc-45c2-8ede-01100b5a8bef,gc_worker.exe,c:\packages\plugins\microsoft.guestconfiguration.configurationforwindows\1.29.92.0\dsc\gc\gc_worker.exe,1476,System,ed0b79901bf186961d22c878877b66de,gc_service.exe,3348,d93b0b3d6d2f0311bbe0fbdb556ad0fd48d17fa4,af406fbb9a6131c903e6a934ffd6973dc588879d08d3bf0a36d2f6f7e23f77a1,TokenElevationTypeDefault,657976,,,,,,,::ffff:10.0.1.28,FourToSixMapping,49823,,Tcp,REDACTED IP,FourToSixMapping,443,,661,"4/4/2025, 9:18:33.443 PM","4/4/2025, 9:18:33.443 PM","4/4/2025, 9:16:37.082 PM","4/4/2025, 9:17:27.227 PM",0,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionSuccess,,,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,nt authority,system,,S-1-5-18,,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/f3c9e1a4-07cc-45c2-8ede-01100b5a8bef,gc_worker.exe,c:\packages\plugins\microsoft.guestconfiguration.configurationforwindows\1.29.92.0\dsc\gc\gc_worker.exe,1476,System,ed0b79901bf186961d22c878877b66de,gc_service.exe,3348,d93b0b3d6d2f0311bbe0fbdb556ad0fd48d17fa4,af406fbb9a6131c903e6a934ffd6973dc588879d08d3bf0a36d2f6f7e23f77a1,TokenElevationTypeDefault,657976,,,,,,,10.0.1.28,Private,49824,,Tcp,REDACTED IP,Public,443,eastus2-gas.guestconfiguration.azure.com,662,"4/4/2025, 9:18:34.039 PM","4/4/2025, 9:18:34.039 PM","4/4/2025, 9:16:37.082 PM","4/4/2025, 9:17:27.227 PM",0,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAcknowledged,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":82,""Packet Size"":66}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,49823,,TcpV4,REDACTED IP,,443,,667,"4/4/2025, 9:18:35.117 PM","4/4/2025, 9:18:35.117 PM",,,,FALSE,,,,DeviceNetworkEvents
60c7f53e-249a-4077-b68e-55a4ae877d7c,ConnectionAttempt,"{""direction"":""In"",""Source Mac"":""7c:1e:52:9a:14:74"",""Destination Mac"":""12:34:56:78:9a:bc"",""Tcp Flags"":2,""Packet Size"":60}",,0a0d307f901a5f057bb6d17acbdc9a824a11e475,vul-manage-fina,,,,,,,,,0,,,,0,,,None,,,,,,,,10.0.1.28,,401,,TcpV4,REDACTED IP,,52204,,695,"4/4/2025, 9:18:51.169 PM","4/4/2025, 9:18:51.169 PM",,,,FALSE,,,,DeviceNetworkEvents
