TimeGenerated [UTC],DeviceName,ActionType,LocalIP,LocalPort,RemoteIP,RemotePort,InitiatingProcessFileName,failed_connections
"4/3/2025, 12:30:27.182 AM",felix-win10,ConnectionFailed,10.0.0.121,57274,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:31:42.596 AM",felix-win10,ConnectionFailed,10.0.0.121,57310,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:31:42.596 AM",felix-win10,ConnectionFailed,10.0.0.121,57311,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:21.300 AM",felix-win10,ConnectionFailed,10.0.0.121,57537,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57550,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57551,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:39:43.009 AM",felix-win10,ConnectionFailed,10.0.0.121,57552,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:40:50.093 AM",felix-win10,ConnectionFailed,10.0.0.121,57596,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:41:02.156 AM",felix-win10,ConnectionFailed,10.0.0.121,57675,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:41:20.324 AM",felix-win10,ConnectionFailed,10.0.0.121,57764,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:48:35.449 AM",felix-win10,ConnectionFailed,10.0.0.121,58010,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:52:35.709 AM",felix-win10,ConnectionFailed,10.0.0.121,58118,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:52:35.710 AM",felix-win10,ConnectionFailed,10.0.0.121,58119,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:54:21.412 AM",felix-win10,ConnectionFailed,10.0.0.121,58169,REDACTED IP,443,svchost.exe,1
"4/3/2025, 12:56:35.899 AM",felix-win10,ConnectionFailed,10.0.0.121,58236,REDACTED IP,80,svchost.exe,1
"4/3/2025, 12:56:35.899 AM",felix-win10,ConnectionFailed,10.0.0.121,58237,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:00:27.328 AM",felix-win10,ConnectionFailed,10.0.0.121,58353,REDACTED IP,443,svchost.exe,1
"4/3/2025, 1:00:36.040 AM",felix-win10,ConnectionFailed,10.0.0.121,58359,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:00:36.040 AM",felix-win10,ConnectionFailed,10.0.0.121,58360,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58446,REDACTED IP,80,svchost.exe,1
"4/3/2025, 1:03:44.872 AM",felix-win10,ConnectionFailed,10.0.0.121,58447,REDACTED IP,80,svchost.exe,1
